uniprot,gene,skin_score,tier,cell_type_preferred,worth_curating,evidence_exists_elsewhere,work_needed,druggable_class,structural_family,protein_class,description
P61086,UBE2K,0.4054872326967236,medium,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Ubiquitin conjugating enzyme E2 K
Q9Y646,CPQ,0.405457713647763,medium,melanocytes,True,False,literature or in-house data,True,False,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Carboxypeptidase Q
Q9P0J7,KCMF1,0.4054437622361161,medium,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Enzymes, Essential proteins, Predicted intracellular proteins",Potassium channel modulatory factor 1
Q8NHH9,ATL2,0.4051461802522066,medium,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Essential proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Atlastin GTPase 2
Q13190,STX5,0.4047271922855942,medium,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Essential proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Syntaxin 5
Q14802,FXYD3,0.4044273557648337,medium,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Predicted intracellular proteins, Predicted membrane proteins, Transporters",FXYD domain containing ion transport regulator 3
Q7Z6E9,RBBP6,0.4039061147920257,medium,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Enzymes, Essential proteins, Metabolic proteins, Predicted intracellular proteins","RB binding protein 6, ubiquitin ligase"
O95865,DDAH2,0.403639649004437,medium,fibroblasts,True,False,literature or in-house data,True,False,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Dimethylarginine dimethylaminohydrolase 2
Q9Y371,SH3GLB1,0.4035936418772798,medium,vascular endothelial cells,True,False,literature or in-house data,True,False,"Metabolic proteins, Predicted intracellular proteins, Transporters","SH3 domain containing GRB2 like, endophilin B1"
Q5TAX3,TUT4,0.4033213261565346,medium,basal keratinocytes,True,False,literature or in-house data,True,False,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Terminal uridylyl transferase 4
Q8IVL5,P3H2,0.402878204283431,medium,basal keratinocytes,True,False,literature or in-house data,True,False,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",Prolyl 3-hydroxylase 2
Q96TA2,YME1L1,0.4028683800799746,medium,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",YME1 like 1 ATPase
O60337,MARCHF6,0.4028668822006831,medium,basal keratinocytes,True,False,literature or in-house data,True,False,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Membrane associated ring-CH-type finger 6
P49069,CAMLG,0.402654075113591,medium,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Essential proteins, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Calcium modulating ligand
O43255,SIAH2,0.4026276874379586,medium,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters",Siah E3 ubiquitin protein ligase 2
Q6NUM9,RETSAT,0.4024307432867186,medium,melanocytes,True,False,literature or in-house data,True,False,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Retinol saturase
Q13571,LAPTM5,0.4023412588070343,medium,lymphatic endothelial cells,True,False,literature or in-house data,True,False,"Predicted membrane proteins, Transporters",Lysosomal protein transmembrane 5
O60478,GPR137B,0.4022358404792173,medium,melanocytes,True,False,literature or in-house data,True,False,"Predicted membrane proteins, Transporters",G protein-coupled receptor 137B
Q03169,TNFAIP2,0.4021265825987851,medium,fibroblasts,True,False,literature or in-house data,True,False,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters",TNF alpha induced protein 2
Q7Z7N9,TMEM179B,0.4020772217093452,medium,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Predicted membrane proteins, Transporters",Transmembrane protein 179B
Q9UPQ7,PDZRN3,0.4019637455904756,medium,fibroblasts,True,False,literature or in-house data,True,False,"Enzymes, Predicted intracellular proteins",PDZ domain containing ring finger 3
Q9NV58,RNF19A,0.4016565565726055,medium,vascular endothelial cells,True,False,literature or in-house data,True,False,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","Ring finger protein 19A, RBR E3 ubiquitin protein ligase"
Q8WTS1,ABHD5,0.401646624945368,medium,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins","Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
O15503,INSIG1,0.4013252444681707,medium,vascular endothelial cells,True,False,literature or in-house data,True,False,"Plasma proteins, Predicted membrane proteins, Transporters",Insulin induced gene 1
Q6QHC5,DEGS2,0.4011948368448863,medium,suprabasal keratinocytes,True,False,literature or in-house data,True,False,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","Delta 4-desaturase, sphingolipid 2"
Q8TF71,SLC16A10,0.4007818316220138,medium,melanocytes,True,False,literature or in-house data,True,False,"Metabolic proteins, Predicted membrane proteins, Transporters",Solute carrier family 16 member 10
Q96MT1,RNF145,0.4006479531584725,medium,basal keratinocytes,True,False,literature or in-house data,True,False,"Enzymes, Predicted membrane proteins",Ring finger protein 145
Q96A57,TMEM230,0.4003119246145618,medium,melanocytes,True,False,literature or in-house data,True,False,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Transmembrane protein 230
Q6P9A2,GALNT18,0.4000573750055127,medium,vascular endothelial cells,True,False,literature or in-house data,True,False,"Enzymes, Metabolic proteins, Predicted membrane proteins",Polypeptide N-acetylgalactosaminyltransferase 18
P00156,MT-CYB,0.8803555664680491,very_high,suprabasal keratinocytes,False,True,structural protein - skip,False,True,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins",Mitochondrially encoded cytochrome b
P03897,MT-ND3,0.8730663517886461,very_high,basal keratinocytes,False,True,structural protein - skip,True,True,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins",Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3
P03891,MT-ND2,0.8438322675910722,very_high,basal keratinocytes,False,True,structural protein - skip,True,True,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins",Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2
P03915,MT-ND5,0.778806984058722,high,suprabasal keratinocytes,False,True,structural protein - skip,True,True,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins",Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5
P03901,MT-ND4L,0.7394982475321479,high,melanocytes,False,True,structural protein - skip,True,True,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins",Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L
P02795,MT2A,0.7220553485318841,high,fibroblasts,False,True,not in a druggable class - low priority,False,False,"Essential proteins, Plasma proteins, Predicted intracellular proteins",Metallothionein 2A
P01100,FOS,0.7194859137708474,high,fibroblasts,False,True,not in a druggable class - low priority,False,False,"Cancer-related genes, Predicted intracellular proteins, Transcription factors","Fos proto-oncogene, AP-1 transcription factor subunit"
P84243,H3-3B,0.7037878884673521,high,suprabasal keratinocytes,False,True,structural protein - skip,False,True,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins",H3.3 histone B
P03923,MT-ND6,0.6771584158137698,high,lymphatic endothelial cells,False,True,structural protein - skip,True,True,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins",Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6
P17535,JUND,0.5843951767835589,medium,fibroblasts,False,True,not in a druggable class - low priority,False,False,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors","JunD proto-oncogene, AP-1 transcription factor subunit"
Q9NSA3,CTNNBIP1,0.5788291288477161,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,Predicted intracellular proteins,Catenin beta interacting protein 1
Q99576,TSC22D3,0.5768844442705718,medium,fibroblasts,False,True,not in a druggable class - low priority,False,False,"Predicted intracellular proteins, Transcription factors",TSC22 domain family member 3
O43920,NDUFS5,0.5706426098101058,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,"Essential proteins, Metabolic proteins, Predicted intracellular proteins",NADH:ubiquinone oxidoreductase subunit S5
Q9NRX3,NDUFA4L2,0.5364389304896863,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,Predicted membrane proteins,NDUFA4 mitochondrial complex associated like 2
O15239,NDUFA1,0.5271301944441589,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins",NADH:ubiquinone oxidoreductase subunit A1
P08174,CD55,0.5269524665473814,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,"Blood group antigen proteins, CD markers, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",CD55 molecule (Cromer blood group)
O95178,NDUFB2,0.5250506087154132,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",NADH:ubiquinone oxidoreductase subunit B2
P01023,A2M,0.5216979798397873,medium,vascular endothelial cells,False,True,not in a druggable class - low priority,False,False,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",Alpha-2-macroglobulin
O95168,NDUFB4,0.5110923331978514,medium,melanocytes,False,True,not in a druggable class - low priority,False,False,"Essential proteins, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",NADH:ubiquinone oxidoreductase subunit B4
Q86Y39,NDUFA11,0.510328654013565,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",NADH:ubiquinone oxidoreductase subunit A11
Q9NX14,NDUFB11,0.5102879775482527,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",NADH:ubiquinone oxidoreductase subunit B11
O75438,NDUFB1,0.5082722535268928,medium,melanocytes,False,True,not in a druggable class - low priority,False,False,"Essential proteins, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",NADH:ubiquinone oxidoreductase subunit B1
O95298,NDUFC2,0.4796828911170301,medium,melanocytes,False,True,not in a druggable class - low priority,False,False,"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",NADH:ubiquinone oxidoreductase subunit C2
Q9UI09,NDUFA12,0.4584554259539462,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",NADH:ubiquinone oxidoreductase subunit A12
Q02818,NUCB1,0.4534623268736425,medium,vascular endothelial cells,False,True,not in a druggable class - low priority,False,False,"Plasma proteins, Predicted secreted proteins",Nucleobindin 1
Q05516,ZBTB16,0.4493040206536315,medium,fibroblasts,False,True,not in a druggable class - low priority,False,False,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Zinc finger and BTB domain containing 16
P07992,ERCC1,0.4471213110110555,medium,fibroblasts,False,True,not in a druggable class - low priority,False,False,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins","ERCC excision repair 1, endonuclease non-catalytic subunit"
Q13794,PMAIP1,0.4457244957029354,medium,basal keratinocytes,False,True,not in a druggable class - low priority,False,False,Predicted intracellular proteins,Phorbol-12-myristate-13-acetate-induced protein 1
O43181,NDUFS4,0.4387906305974794,medium,basal keratinocytes,False,True,not in a druggable class - low priority,False,False,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",NADH:ubiquinone oxidoreductase subunit S4
Q9ULH1,ASAP1,0.4367540558566878,medium,lymphatic endothelial cells,False,True,not in a druggable class - low priority,False,False,Predicted intracellular proteins,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"
P10644,PRKAR1A,0.4348934710663893,medium,melanocytes,False,True,not in a druggable class - low priority,False,False,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Protein kinase cAMP-dependent type I regulatory subunit alpha
O43676,NDUFB3,0.4331571260875198,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Predicted membrane proteins",NADH:ubiquinone oxidoreductase subunit B3
O43678,NDUFA2,0.432898798298301,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",NADH:ubiquinone oxidoreductase subunit A2
O95167,NDUFA3,0.432401783315284,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",NADH:ubiquinone oxidoreductase subunit A3
P18084,ITGB5,0.4311436203476396,medium,fibroblasts,False,True,not in a druggable class - low priority,False,False,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Integrin subunit beta 5
P56556,NDUFA6,0.4283814324864063,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",NADH:ubiquinone oxidoreductase subunit A6
P15884,TCF4,0.4189270523663649,medium,vascular endothelial cells,False,True,not in a druggable class - low priority,False,False,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins, Transcription factors",Transcription factor 4
Q9UKL0,RCOR1,0.4170536569149541,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,Predicted intracellular proteins,REST corepressor 1
Q13772,NCOA4,0.4158306298444947,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins",Nuclear receptor coactivator 4
P35754,GLRX,0.4157109212035272,medium,fibroblasts,False,True,not in a druggable class - low priority,False,False,"Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Glutaredoxin
Q9Y618,NCOR2,0.4148293658987531,medium,fibroblasts,False,True,not in a druggable class - low priority,False,False,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",Nuclear receptor corepressor 2
P80188,LCN2,0.4120476503645793,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,"Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",Lipocalin 2
Q969U7,PSMG2,0.4104448325872857,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins",Proteasome assembly chaperone 2
Q8ND76,CCNY,0.4103820786142441,medium,vascular endothelial cells,False,True,not in a druggable class - low priority,False,False,Predicted intracellular proteins,Cyclin Y
P30679,GNA15,0.40857355623162,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,"Plasma proteins, Predicted intracellular proteins",G protein subunit alpha 15
Q96IZ0,PAWR,0.4062853500839772,medium,basal keratinocytes,False,True,not in a druggable class - low priority,False,False,Predicted intracellular proteins,Pro-apoptotic WT1 regulator
Q9C005,DPY30,0.4057460268022542,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,Predicted intracellular proteins,Dpy-30 histone methyltransferase complex regulatory subunit
Q9BSL1,UBAC1,0.4015236252321082,medium,suprabasal keratinocytes,False,True,not in a druggable class - low priority,False,False,Predicted intracellular proteins,UBA domain containing 1
Q9NXR7,BABAM2,0.4014950850398304,medium,vascular endothelial cells,False,True,not in a druggable class - low priority,False,False,Predicted intracellular proteins,BRISC and BRCA1 A complex member 2
P02533,KRT14,0.907667422083825,very_high,basal keratinocytes,False,False,structural protein - skip,False,True,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Keratin 14
P13645,KRT10,0.8880445130927439,very_high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Keratin 10
P04264,KRT1,0.8700733702093121,very_high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Keratin 1
P60985,KRTDAP,0.840461665121819,very_high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Plasma proteins, Predicted secreted proteins",Keratinocyte differentiation associated protein
P13647,KRT5,0.836846142548402,very_high,basal keratinocytes,False,False,structural protein - skip,False,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Keratin 5
P62945,RPL41,0.8138064519950935,very_high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Predicted intracellular proteins, Ribosomal proteins",Ribosomal protein L41
Q6E0U4,DMKN,0.8120014668174058,very_high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Dermokine
P62910,RPL32,0.7924566705957024,high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins",Ribosomal protein L32
P05388,RPLP0,0.7759481785541342,high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins",Ribosomal protein lateral stalk subunit P0
P47914,RPL29,0.770252052638253,high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Predicted intracellular proteins, Ribosomal proteins",Ribosomal protein L29
Q6UWP8,SBSN,0.7558496831248269,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Suprabasin
P63261,ACTG1,0.7482006823930725,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Actin gamma 1
P07585,DCN,0.7448139069635286,high,fibroblasts,False,False,not in a druggable class - low priority,False,False,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Decorin
P05090,APOD,0.7237968306873636,high,fibroblasts,False,False,not in a druggable class - low priority,False,False,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",Apolipoprotein D
Q14210,LY6D,0.7205762501360812,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Plasma proteins, Predicted membrane proteins",Lymphocyte antigen 6 family member D
P02538,KRT6A,0.720008033735299,high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Keratin 6A
E9PAV3,NACA,0.7190010493625021,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Essential proteins, Plasma proteins, Predicted intracellular proteins",Nascent polypeptide associated complex subunit alpha
P29034,S100A2,0.7157920546407248,high,basal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Cancer-related genes, Predicted intracellular proteins",S100 calcium binding protein A2
P62987,UBA52,0.7104695627028708,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Essential proteins, Predicted intracellular proteins, Ribosomal proteins",Ubiquitin A-52 residue ribosomal protein fusion product 1
P19012,KRT15,0.7058635270082785,high,basal keratinocytes,False,False,structural protein - skip,False,True,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Keratin 15
P22531,SPRR2E,0.7022158480814302,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,Predicted intracellular proteins,Small proline rich protein 2E
P80297,MT1X,0.7015948085513192,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,Predicted intracellular proteins,Metallothionein 1X
P62891,RPL39,0.6987729947473605,high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Essential proteins, Predicted intracellular proteins, Ribosomal proteins",Ribosomal protein L39
Q04695,KRT17,0.6980050360860248,high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Keratin 17
P08779,KRT16,0.6937299674001023,high,suprabasal keratinocytes,False,False,structural protein - skip,False,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Keratin 16
Q9HCY8,S100A14,0.6935179298125703,high,suprabasal keratinocytes,False,False,not in a druggable class - low priority,False,False,"Plasma proteins, Predicted intracellular proteins",S100 calcium binding protein A14
