normalised,display_name,smiles,inchikey,source,is_ingredient_name
0 9 nacl,0.9% nacl,Cl,VEXZGXHMUGYJMC-UHFFFAOYSA-N,ChEMBL,False
0 9 saline,0.9% saline,Cl,VEXZGXHMUGYJMC-UHFFFAOYSA-N,ChEMBL,False
0 9 saline solution,0.9% saline solution,Cl,VEXZGXHMUGYJMC-UHFFFAOYSA-N,ChEMBL,False
1 1 1 tce,"1,1,1-tce",CC(Cl)(Cl)Cl,UOCLXMDMGBRAIB-UHFFFAOYSA-N,ChEMBL,False
1 1 1 trichloro ethane,"1,1,1-trichloro-ethane",CC(Cl)(Cl)Cl,UOCLXMDMGBRAIB-UHFFFAOYSA-N,ChEMBL,False
1 1 1 trichloroethane,"1,1,1-trichloroethane",CC(Cl)(Cl)Cl,UOCLXMDMGBRAIB-UHFFFAOYSA-N,ChEMBL,False
1 10 4 amino 2 methylquinolin 1 ium 1 yl decyl 2 methylquinolin 1 ium 4 amine,1-[10-(4-amino-2-methylquinolin-1-ium-1-yl)decyl]-2-methylquinolin-1-ium-4-amine,Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21,PCSWXVJAIHCTMO-UHFFFAOYSA-P,GtoPdb,False
1 14c arachidonic acid,[1-14c]arachidonic acid,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,YZXBAPSDXZZRGB-UHFFFAOYSA-N,BindingDB,False
1 2 2 4 dichlorophenyl 2 2 4 dichlorophenyl methoxy ethyl imidazole,"1-[2-(2,4-dichlorophenyl)-2-[(2,4-dichlorophenyl)methoxy]ethyl]imidazole",Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,BYBLEWFAAKGYCD-UHFFFAOYSA-N,GtoPdb,False
1 2 2 chlorothiophen 3 yl methoxy 2 2 4 dichlorophenyl ethyl imidazole,"1-[2-[(2-chlorothiophen-3-yl)methoxy]-2-(2,4-dichlorophenyl)ethyl]imidazole",Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,QXHHHPZILQDDPS-UHFFFAOYSA-N,GtoPdb,False
1 2 2 hydroxy 3 propylaminopropoxy phenyl 3 phenylpropan 1 one,1-[2-(2-hydroxy-3-propylaminopropoxy)phenyl]-3-phenylpropan-1-one,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,JWHAUXFOSRPERK-UHFFFAOYSA-N,GtoPdb,False
1 2 3 4 tetrahydropyrimidine 2 4 dione,"1,2,3,4-tetrahydropyrimidine-2,4-dione",O=c1cc[nH]c(=O)[nH]1,ISAKRJDGNUQOIC-UHFFFAOYSA-N,GtoPdb,False
1 2 3 dihydro 1 4 benzodioxin 6 yl 4 phenylbutane 1 4 dione,"1-(2,3-dihydro-1,4-benzodioxin-6-yl)-4-phenylbutane-1,4-dione",O=C(CCC(=O)c1ccc2c(c1)OCCO2)c1ccccc1,AOCDRSSVFUCURK-UHFFFAOYSA-N,GtoPdb,False
1 2 3 trichloropropane,"1,2,3-trichloropropane",ClCC(Cl)CCl,CFXQEHVMCRXUSD-UHFFFAOYSA-N,ChEMBL,True
1 2 4 dihydroxy 6 2s 3r 4s 5s 6r 3 4 5 trihydroxy 6 hydroxymethyl oxan 2 yl oxy phenyl 3 4 hydroxyphenyl propan 1 one,"1-(2,4-dihydroxy-6-{[(2s,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)-3-(4-hydroxyphenyl)propan-1-one",O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,IOUVKUPGCMBWBT-UHFFFAOYSA-N,GtoPdb,False
1 2 4 triazole,"1,2,4-triazole",c1nc[nH]n1,NSPMIYGKQJPBQR-UHFFFAOYSA-N,ChEMBL,True
1 2 9 10 tetramethoxy 6 methyl 5 6 6a 7 tetrahydro 4h dibenzo de g quinoline,"1,2,9,10-tetramethoxy-6-methyl-5,6,6a,7-tetrahydro-4h-dibenzo[de,g]quinoline",COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1C(C2)N(C)CC3,RUZIUYOSRDWYQF-UHFFFAOYSA-N,BindingDB,False
1 2 azocan 1 yl ethyl guanidine,1-[2-(azocan-1-yl)ethyl]guanidine,N=C(N)NCCN1CCCCCCC1,ACGDKVXYNVEAGU-UHFFFAOYSA-N,GtoPdb,False
1 2 benzenedicarboxylic acid 1 2 dimethyl ester,"1,2-benzenedicarboxylic acid 1,2-dimethyl ester",COC(=O)c1ccccc1C(=O)OC,NIQCNGHVCWTJSM-UHFFFAOYSA-N,BindingDB,False
1 2 benzopyrone,"1,2-benzopyrone",O=c1ccc2ccccc2o1,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,ChEMBL,False
1 2 chloro 1 2 bis 4 methoxyphenyl ethenyl 4 methoxybenzene,"1-[2-chloro-1,2-bis(4-methoxyphenyl)ethenyl]-4-methoxybenzene",COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,BFPSDSIWYFKGBC-UHFFFAOYSA-N,GtoPdb,False
1 2 chlorophenyl di phenyl methyl imidazole,1-[(2-chlorophenyl)-di(phenyl)methyl]imidazole,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,VNFPBHJOKIVQEB-UHFFFAOYSA-N,GtoPdb,False
1 2 dibromoethane,"1,2-dibromoethane",BrCCBr,PAAZPARNPHGIKF-UHFFFAOYSA-N,ChEMBL,True
1 2e 4e 5 1 3 benzodioxol 5 yl penta 2 4 dienoyl piperidine,"1-[(2e,4e)-5-(1,3-benzodioxol-5-yl)penta-2,4-dienoyl]piperidine",O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,MXXWOMGUGJBKIW-UHFFFAOYSA-N,BindingDB,False
1 2r 3r 4s 5r 3 4 dihydroxy 5 hydroxymethyl oxolan 2 yl 1 2 3 4 tetrahydropyrimidine 2 4 dione,"1-[(2r,3r,4s,5r)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2,3,4-tetrahydropyrimidine-2,4-dione",O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,DRTQHJPVMGBUCF-UHFFFAOYSA-N,GtoPdb,False
1 2r 4s 5r 4 hydroxy 5 hydroxymethyl oxolan 2 yl 5 methyl 1 2 3 4 tetrahydropyrimidine 2 4 dione,"1-[(2r,4s,5r)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methyl-1,2,3,4-tetrahydropyrimidine-2,4-dione",Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,IQFYYKKMVGJFEH-UHFFFAOYSA-N,GtoPdb,False
1 3 4 5 trimethoxy benzyl 1 2 3 4 tetrahydro isoquinoline 6 7 diol,"1-(3,4,5-trimethoxy-benzyl)-1,2,3,4-tetrahydro-isoquinoline-6,7-diol",COc1cc(CC2NCCc3cc(O)c(O)cc32)cc(OC)c1OC,RGVPOXRFEPSFGH-UHFFFAOYSA-N,BindingDB,False
1 3 5 estratrien 3 ol 17 one,"1,3,5-estratrien-3-ol-17-one",CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,DNXHEGUUPJUMQT-UHFFFAOYSA-N,ChEMBL,False
1 3 6 7 tetrahydroxy 2 2s 3r 4r 5s 6r 3 4 5 trihydroxy 6 hydroxymethyl oxan 2 yl xanthen 9 one,"1,3,6,7-tetrahydroxy-2-[(2s,3r,4r,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]xanthen-9-one",O=c1c2cc(O)c(O)cc2oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,AEDDIBAIWPIIBD-UHFFFAOYSA-N,GtoPdb,False
1 3 6 trihydroxy 7 methoxy 2 8 bis 3 methylbut 2 enyl xanthen 9 one,"1,3,6-trihydroxy-7-methoxy-2,8-bis(3-methylbut-2-enyl)xanthen-9-one",COc1c(O)cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c1C=CC(C)C,ROFXXLPYCGUFJL-UHFFFAOYSA-N,GtoPdb,False
1 3 7 trimethylpurine 2 6 dione,"1,3,7-trimethylpurine-2,6-dione",Cn1c(=O)c2c(ncn2C)n(C)c1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N,GtoPdb,False
1 3 8 trihydroxy 6 methylanthra 9 10 quinone,"1,3,8-trihydroxy-6-methylanthra-9,10-quinone",Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,RHMXXJGYXNZAPX-UHFFFAOYSA-N,BindingDB,False
1 3 cyano 3 3 di phenyl propyl 4 phenylpiperidine 4 carboxylic acid,"1-[3-cyano-3,3-di(phenyl)propyl]-4-phenylpiperidine-4-carboxylic acid",N#CC(CCN1CCC(C(=O)O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1,UFIVBRCCIRTJTN-UHFFFAOYSA-N,GtoPdb,False
1 3 dimethyl 2 6 dioxo 1 2 3 6 tetrahydro purin 7 yl acetic acid,"(1,3-dimethyl-2,6-dioxo-1,2,3,6-tetrahydro-purin-7-yl)-acetic acid",Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,HCYFGRCYSCXKNQ-UHFFFAOYSA-N,BindingDB,False
1 3 dimethyl 7h purine 2 6 dione,"1,3-dimethyl-7h-purine-2,6-dione",Cn1c(=O)c2[nH]cnc2n(C)c1=O,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,GtoPdb,False
1 4 3 6 dianhydro d glucitol,"1,4:3,6-dianhydro-d-glucitol",OC1COC2C(O)COC12,KLDXJTOLSGUMSJ-UHFFFAOYSA-N,ChEMBL,False
1 4 4 2 2 4 dichlorophenyl 2 imidazol 1 ylmethyl 1 3 dioxolan 4 yl methoxy phenyl piperazin 1 yl ethanone,"1-[4-[4-[[2-(2,4-dichlorophenyl)-2-(imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]ethanone",CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,XMAYWYJOQHXEEK-UHFFFAOYSA-N,GtoPdb,False
1 4 4 2s 4r 2 2 4 dichlorophenyl 2 imidazol 1 ylmethyl 1 3 dioxolan 4 yl methoxy phenyl piperazin 1 yl ethanone,"1-[4-[4-[[(2s,4r)-2-(2,4-dichlorophenyl)-2-(imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]ethanone",CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,XMAYWYJOQHXEEK-UHFFFAOYSA-N,GtoPdb,False
1 4 4 2s 4s 2 2 4 dichlorophenyl 2 imidazol 1 ylmethyl 1 3 dioxolan 4 yl methoxy phenyl piperazin 1 yl ethanone,"1-[4-[4-[[(2s,4s)-2-(2,4-dichlorophenyl)-2-(imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]ethanone",CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,XMAYWYJOQHXEEK-UHFFFAOYSA-N,GtoPdb,False
1 4 6 trichloro galactosucrose,"1',4',6'-trichloro-galactosucrose",OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl,BAQAVOSOZGMPRM-UHFFFAOYSA-N,ChEMBL,False
1 4 amino 3 5 dichlorophenyl 2 tert butylamino ethanol,"1-(4-amino-3,5-dichlorophenyl)-2-(tert-butylamino)ethanol",CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,STJMRWALKKWQGH-UHFFFAOYSA-N,GtoPdb,False
1 4 butanediol,"1,4-butanediol",OCCCCO,WERYXYBDKMZEQL-UHFFFAOYSA-N,ChEMBL,True
1 4 dimethyl 7 isopropylazulene,"1,4-dimethyl-7-isopropylazulene",Cc1ccc(C(C)C)cc2c(C)ccc1-2,FWKQNCXZGNBPFD-UHFFFAOYSA-N,ChEMBL,False
1 4 methoxyphenyl 3 phenylprop 2 en 1 one 6,1-(4-methoxyphenyl)-3-phenylprop-2-en-1-one (6),COc1ccc(C(=O)C=Cc2ccccc2)cc1,KJHHAPASNNVTSN-UHFFFAOYSA-N,BindingDB,False
1 4 naphthalenedione 2 methyl,"1,4-naphthalenedione, 2-methyl",CC1=CC(=O)c2ccccc2C1=O,MJVAVZPDRWSRRC-UHFFFAOYSA-N,ChEMBL,False
1 5 dideoxy 1 5 imino,"1,5-dideoxy-1,5-imino-",OCC1NCC(O)C(O)C1O,LXBIFEVIBLOUGU-UHFFFAOYSA-N,ChEMBL,False
1 5 dideoxy 1 5 imino d glucitol,"1,5-dideoxy-1,5-imino-d-glucitol",OCC1NCC(O)C(O)C1O,LXBIFEVIBLOUGU-UHFFFAOYSA-N,ChEMBL,False
1 5 dimethyl 3 oxo 2 phenylpyrazol 4 yl 4 6 methoxypyridazin 3 yl sulfamoyl phenyl amino methanesulfonic acid,"(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)-[[4-[(6-methoxypyridazin-3-yl)sulfamoyl]phenyl]amino]methanesulfonic acid",COc1ccc(NS(=O)(=O)c2ccc(NC(c3c(C)n(C)n(-c4ccccc4)c3=O)S(=O)(=O)O)cc2)nn1,BGLHAKAJGYLSOX-UHFFFAOYSA-N,GtoPdb,False
1 5 pentanediol,"1,5-pentanediol",OCCCCCO,ALQSHHUCVQOPAS-UHFFFAOYSA-N,ChEMBL,True
1 6 gps,"1,6-gps",OCC(O)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1O,SERLAGPUMNYUCK-UHFFFAOYSA-N,ChEMBL,False
1 7 7 trimethylbicyclo 2 2 1 heptan 2 one,"1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",CC12CCC(CC1=O)C2(C)C,DSSYKIVIOFKYAU-UHFFFAOYSA-N,GtoPdb,False
1 7 bis 4 hydroxy 3 methoxy phenyl heptane 3 5 dione,"1,7-bis-(4-hydroxy-3-methoxy-phenyl)-heptane-3,5-dione",COc1cc(CCC(=O)CC(=O)CCc2ccc(O)c(OC)c2)ccc1O,LBTVHXHERHESKG-UHFFFAOYSA-N,BindingDB,False
1 7 dimethylxanthine,"1,7-dimethylxanthine",Cn1c(=O)[nH]c2ncn(C)c2c1=O,QUNWUDVFRNGTCO-UHFFFAOYSA-N,BindingDB,False
1 8 cineol,"1,8-cineol",CC12CCC(CC1)C(C)(C)O2,WEEGYLXZBRQIMU-UHFFFAOYSA-N,ChEMBL,False
1 8 cineole,"1,8-cineole",CC12CCC(CC1)C(C)(C)O2,WEEGYLXZBRQIMU-UHFFFAOYSA-N,ChEMBL,False
1 aminoguanidine,1-aminoguanidine,N=C(N)NN,HAMNKKUPIHEESI-UHFFFAOYSA-N,GtoPdb,False
1 benzazine,1-benzazine,c1ccc2ncccc2c1,SMWDFEZZVXVKRB-UHFFFAOYSA-N,ChEMBL,False
1 beta d ribofuranosyluracil,1-.beta.-d-ribofuranosyluracil,O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,DRTQHJPVMGBUCF-UHFFFAOYSA-N,ChEMBL,False
1 biphenyl 4 yl phenyl methyl 1h imidazole bifonazole,1-(biphenyl-4-yl-phenyl-methyl)-1h-imidazole (bifonazole),c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,OCAPBUJLXMYKEJ-UHFFFAOYSA-N,BindingDB,False
1 butanol,1-butanol,CCCCO,LRHPLDYGYMQRHN-UHFFFAOYSA-N,BindingDB,False
1 decanoyl rac glycerol,1-decanoyl-rac-glycerol,CCCCCCCCCC(=O)OCC(O)CO,LKUNXBRZDFMZOK-UHFFFAOYSA-N,ChEMBL,False
1 deoxyaltronojirimycin,1-deoxyaltronojirimycin,OCC1NCC(O)C(O)C1O,LXBIFEVIBLOUGU-UHFFFAOYSA-N,BindingDB,False
1 deoxygalactonojirimycin,1-deoxygalactonojirimycin,OCC1NCC(O)C(O)C1O,LXBIFEVIBLOUGU-UHFFFAOYSA-N,GtoPdb,False
1 deoxynojirimycin,1 deoxynojirimycin,OCC1NCC(O)C(O)C1O,LXBIFEVIBLOUGU-UHFFFAOYSA-N,ChEMBL,False
1 deoxynojirimycin hydrochloride,1 deoxynojirimycin hydrochloride,OCC1NCC(O)C(O)C1O,LXBIFEVIBLOUGU-UHFFFAOYSA-N,ChEMBL,False
1 dnj,1-dnj,OCC1NCC(O)C(O)C1O,LXBIFEVIBLOUGU-UHFFFAOYSA-N,ChEMBL,False
1 e 3 3 4 5 trimethoxyphenyl prop 2 enoyl 2 3 dihydropyridin 6 one,"1-[(e)-3-(3,4,5-trimethoxyphenyl)prop-2-enoyl]-2,3-dihydropyridin-6-one",COc1cc(C=CC(=O)N2CCC=CC2=O)cc(OC)c1OC,VABYUUZNAVQNPG-UHFFFAOYSA-N,GtoPdb,False
1 ethyl 4 2 morpholin 4 yl ethyl 3 3 diphenylpyrrolidin 2 one,"1-ethyl-4-[2-(morpholin-4-yl)ethyl]-3,3-diphenylpyrrolidin-2-one",CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,XFDJYSQDBULQSI-UHFFFAOYSA-N,GtoPdb,False
1 heptanecarboxylic acid,1-heptanecarboxylic acid,CCCCCCCC(=O)O,WWZKQHOCKIZLMA-UHFFFAOYSA-N,ChEMBL,False
1 hexadecylpyridin 1 ium,1-hexadecylpyridin-1-ium,CCCCCCCCCCCCCCCC[n+]1ccccc1,NEUSVAOJNUQRTM-UHFFFAOYSA-N,GtoPdb,False
1 hexanol,1-hexanol,CCCCCCO,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,ChEMBL,False
1 hexyldecanoic acid,1-hexyldecanoic acid,CCCCCCCCCCCCCCCC(=O)O,IPCSVZSSVZVIGE-UHFFFAOYSA-N,BindingDB,False
1 hydroxy 1 phosphonoethyl phosphonic acid,(1-hydroxy-1-phosphonoethyl)phosphonic acid,CC(O)(P(=O)(O)O)P(=O)(O)O,DBVJJBKOTRCVKF-UHFFFAOYSA-N,GtoPdb,False
1 hydroxy 2 methoxybenzene,1-hydroxy-2-methoxybenzene,COc1ccccc1O,LHGVFZTZFXWLCP-UHFFFAOYSA-N,BindingDB,False
1 hydroxy 3 methylbenzene,1-hydroxy-3-methylbenzene,Cc1cccc(O)c1,RLSSMJSEOOYNOY-UHFFFAOYSA-N,BindingDB,False
1 isotetrandrine,1-isotetrandrine,COc1ccc2cc1Oc1ccc(cc1)CC1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1C(C2)N(C)CC3,WVTKBKWTSCPRNU-UHFFFAOYSA-N,ChEMBL,False
1 isothiocyanato 4 methylsulfinylbutane,1-isothiocyanato-4-methylsulfinylbutane,C[S+]([O-])CCCCN=C=S,SUVMJBTUFCVSAD-UHFFFAOYSA-N,GtoPdb,False
1 methylbenzene,1-methylbenzene,Cc1ccccc1,YXFVVABEGXRONW-UHFFFAOYSA-N,GtoPdb,False
1 methylglycocyamidine,1-methylglycocyamidine,Cn1cc(O)nc1N,BTXYOFGSUFEOLA-UHFFFAOYSA-N,ChEMBL,False
1 methylhydantoin 2 imide,1-methylhydantoin-2-imide,Cn1cc(O)nc1N,BTXYOFGSUFEOLA-UHFFFAOYSA-N,ChEMBL,True
1 methylpyrrolidin 2 one,1-methylpyrrolidin-2-one,CN1CCCC1=O,SECXISVLQFMRJM-UHFFFAOYSA-N,GtoPdb,False
1 methylpyrrolidone,1-methylpyrrolidone,CN1CCCC1=O,SECXISVLQFMRJM-UHFFFAOYSA-N,ChEMBL,False
1 mono cis 9 octacenoyl glycerol,1-mono(cis-9-octacenoyl)glycerol,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)CO,RZRNAYUHWVFMIP-UHFFFAOYSA-N,ChEMBL,False
1 monolinolein,1-monolinolein,CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)CO,WECGLUPZRHILCT-UHFFFAOYSA-N,ChEMBL,False
1 monooleoyl rac glycerol,1-monooleoyl-rac-glycerol,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)CO,RZRNAYUHWVFMIP-UHFFFAOYSA-N,ChEMBL,False
1 n dodecylazacycloheptan 2 one,1-n-dodecylazacycloheptan-2-one,CCCCCCCCCCCCN1CCCCCC1=O,AXTGDCSMTYGJND-UHFFFAOYSA-N,ChEMBL,False
1 naphthol,1-naphthol,Oc1cccc2ccccc12,KJCVRFUGPWSIIH-UHFFFAOYSA-N,ChEMBL,True
1 octadecanamine n n dimethyl,"1-octadecanamine, n,n-dimethyl",CCCCCCCCCCCCCCCCCCN(C)C,NAPSCFZYZVSQHF-UHFFFAOYSA-N,ChEMBL,False
1 oleoyl glycerol,1-oleoyl glycerol,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)CO,RZRNAYUHWVFMIP-UHFFFAOYSA-N,GtoPdb,False
1 oleoyl lpa,1-oleoyl-lpa,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)O,WRGQSWVCFNIUNZ-UHFFFAOYSA-N,GtoPdb,False
1 pentanol,1-pentanol,CCCCCO,AMQJEAYHLZJPGS-UHFFFAOYSA-N,ChEMBL,False
1 phenyl 1 cyclopentanecarboxylic acid 2 diethylamino ethyl ester hydrochloride,1-phenyl-1-cyclopentanecarboxylic acid 2-(diethylamino)ethyl ester;hydrochloride,CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1,OFAIGZWCDGNZGT-UHFFFAOYSA-N,BindingDB,False
1 phenylpropan 2 amine,1-phenylpropan-2-amine,CC(N)Cc1ccccc1,KWTSXDURSIMDCE-UHFFFAOYSA-N,GtoPdb,False
1 r 2 2 4 dichloro benzyloxy 2 2 4 dichloro phenyl ethyl 1h imidazole,"1-[(r)-2-(2,4-dichloro-benzyloxy)-2-(2,4-dichloro-phenyl)-ethyl]-1h-imidazole",Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,BYBLEWFAAKGYCD-UHFFFAOYSA-N,BindingDB,False
1 s 2 2 4 dichloro benzyloxy 2 2 4 dichloro phenyl ethyl 1h imidazole,"1-[(s)-2-(2,4-dichloro-benzyloxy)-2-(2,4-dichloro-phenyl)-ethyl]-1h-imidazole",Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,BYBLEWFAAKGYCD-UHFFFAOYSA-N,BindingDB,False
10 11 dimethoxy strychnine,"10,11-dimethoxy strychnine",COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,RRKTZKIUPZVBMF-UHFFFAOYSA-N,GtoPdb,False
10 11 dimethoxystrychnine,"10,11-dimethoxystrychnine",COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,RRKTZKIUPZVBMF-UHFFFAOYSA-N,ChEMBL,False
10 11 dimethoxystrychnine sulfate,"10,11-dimethoxystrychnine sulfate",COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,RRKTZKIUPZVBMF-UHFFFAOYSA-N,ChEMBL,False
10 13 dimethyl 17 6 methylheptan 2 yl 2 3 4 7 8 9 11 12 14 15 16 17 dodecahydro 1h cyclopenta a phenanthren 3 ol,"10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1h-cyclopenta[a]phenanthren-3-ol",CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,HVYWMOMLDIMFJA-UHFFFAOYSA-N,GtoPdb,False
11 b 21 dihydroxypregn 3 20 dione,"11-b,21-dihydroxypregn-3,20-dione",CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,OMFXVFTZEKFJBZ-UHFFFAOYSA-N,ChEMBL,False
11 cis retinal,11-cis-retinal,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O,NCYCYZXNIZJOKI-UHFFFAOYSA-N,GtoPdb,False
11 cis retinaldehyde,11-cis-retinaldehyde,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O,NCYCYZXNIZJOKI-UHFFFAOYSA-N,GtoPdb,False
11 cis retinol,11-cis-retinol,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,FPIPGXGPPPQFEQ-UHFFFAOYSA-N,GtoPdb,False
11 i cis i retinal,11-<i>cis</i>-retinal,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O,NCYCYZXNIZJOKI-UHFFFAOYSA-N,GtoPdb,False
11 i cis i retinol,11-<i>cis</i>-retinol,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,FPIPGXGPPPQFEQ-UHFFFAOYSA-N,GtoPdb,False
11 isosparteine,11-isosparteine,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,TZBJGXHYKVUXJN-UHFFFAOYSA-N,ChEMBL,False
11beta 21 dihydroxypregn 4 ene 3 20 dione,"11beta,21-dihydroxypregn-4-ene-3,20-dione",CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,OMFXVFTZEKFJBZ-UHFFFAOYSA-N,BindingDB,False
13 cis retinal,13-cis-retinal,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O,NCYCYZXNIZJOKI-UHFFFAOYSA-N,GtoPdb,False
13 cis retinaldehyde,13-cis-retinaldehyde,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O,NCYCYZXNIZJOKI-UHFFFAOYSA-N,GtoPdb,False
13 cis retinoic acid,13 cis-retinoic acid,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,SHGAZHPCJJPHSC-UHFFFAOYSA-N,ChEMBL,False
13 cis retinol,13-cis-retinol,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,FPIPGXGPPPQFEQ-UHFFFAOYSA-N,GtoPdb,False
13 docosenoin tri z z z,"13-docosenoin, tri-, (z,z,z)-",CCCCCCCCC=CCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCCCCCC=CCCCCCCCC,XDSPGKDYYRNYJI-UHFFFAOYSA-N,ChEMBL,False
13 i cis i retinal,13-<i>cis</i>-retinal,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O,NCYCYZXNIZJOKI-UHFFFAOYSA-N,GtoPdb,False
13 i cis i retinol,13-<i>cis</i>-retinol,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,FPIPGXGPPPQFEQ-UHFFFAOYSA-N,GtoPdb,False
14 hydroxy 7 8 dihydromorphine,"14-hydroxy-7,8-dihydromorphine",CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3(O)C1C5,AABLHGPVOULICI-UHFFFAOYSA-N,ChEMBL,False
14 hydroxydihydrocodeinone,14-hydroxydihydrocodeinone,COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314,BRUQQQPBMZOVGD-UHFFFAOYSA-N,ChEMBL,False
14 hydroxydihydromorphine,14-hydroxydihydromorphine,CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3(O)C1C5,AABLHGPVOULICI-UHFFFAOYSA-N,ChEMBL,False
